rule id,rule
69cc1f66f9639dd0c3ce57e1db985192,"The output should specify whether the financial performance metrics, like revenue, gross margin, and net income, have increased or decreased."
858606ff750e1e30356e4eeb603a861a,The output should state the numeric values and percentages associated with key financial metrics such as revenue and gross margin.
8083becc3c2eac2ee638f3941fd2afbd,"Each significant business event such as product launches, acquisitions, and partnerships should be detailed with specific names and descriptions if available."
0fbe55db58a35adc969666a41956a227,Operational metrics like R&D expenditure and sales spending should be specified with their exact dollar amounts and their proportion to revenue.
3ddda4f33691428ead93809bcea83fde,The output should contain an estimated total addressable market (TAM) when discussing market opportunities.
67ad2e5ea07de66c0db94307eeba4f53,Future growth strategies should be specified including target customers and key industries.
1762a683cf7aa0c325c47527ba3e6a36,Any forecast provided should include expected growth rates or expected changes in operating margins.
ff11422bd3feb644b94cf09223a36120,"The output should contain a general summary statements of the company's performance, stating whether it was positive, negative, or neutral."
66f6e100167c713eaa3fed2b4555e6e1,The output should identify both challenges and risk mitigation strategies that the company may be employing.
8a394b0f037f7a87b2eeb07a8c52bff5,The output should not use vague terms but instead provide quantitative and qualitative analysis backed by data from the 10-K report.
be215b6c9f0fee966ed8c2e0c0af438c,"The output should contain no filler, apologies, self-references, or other unnecessary language as per the initial instructions of the system prompt."
ea52145333c7dc5dfde5fbbaa00e26a9,"The output should include any specific operational metrics to assess performance, such as capital expenditures, employee headcount changes, and their respective details."
87d6edd3f89decd409735a65c7e28c80,The output should clearly state the assessment of company's balance sheet and the underlying business momentum.
