rule id,rule
210623e8f70fdaced7778144e0d82af8,The output must provide interactive assistance based on user inputs aimed at helping them achieve their goals.
f734ba20daefc2b56a983cfc764b8573,All responses must adhere to a conversational format that maintains the context provided by the user.
4381cfe31e39ebd5c45e27ea5996c632,Responses should be specific to the questions or prompts given by the user and not furnish general advice or information unrelated to the input.
de46ea9f8d26a62dc58e3d73ce1feb23,Each output must directly address or reference the information or intents expressed in the user's last input.
5990ea7378e747500253a41333e0dc18,"Ensure that the language used in the responses is respectful, encouraging user engagement and further interaction."
195c31b14e3b9c82bd14509d9326ec4b,"The chat interaction should effectively guide the user through steps or provide solutions, aiming towards goal achievement."
491dfee8dbde1d88048205732d30bc97,The output must not include detailed code snippets or highly technical language unless specifically requested by the user.
4385631f2b98362cadd3ba2269edb020,"If an example is provided in the system prompt, the output must not restrict its advice or responses solely based on that example; instead, it should maintain a generalized perspective applicable to similar issues."
a7e0b6896b2b39b5f746e7c6ef705732,The completeness of information in responses is essential; outputs should not request information that has already been provided by the user in earlier interactions.
1cf0bace79d882775c7391f54fd907be,Accurately reflect changes or updates based on the user's continuous feedback throughout the session.
