rule id,rule
01d5b3ee6e963b8beacefb3397a672d3,The output must directly address the user's query or follow up on the user's last statement.
4ede6ed5510d607c144391f95db89526,"The output must maintain coherence with the ongoing conversation, building logically on previous exchanges."
be8895ab9ce475e6f94e4fce88b1a2d8,The output must be relevant to the user's stated goals without introducing unrelated topics.
e7be6e459c47f0937ff9f35e71f43eea,The output must be polite and maintain a respectful tone toward the user.
9b08b76aea6f8cfdc16ca4c78850c9c1,The output should provide clear and concise information or instructions relevant to the user's goals.
a6ac3b1316939b855dfa1cb28755c6a5,"If an example is provided by the user, the output must accurately incorporate or reference this example to provide a precise response or follow-up."
21e7f0b5da02f533fd793d16bfbf967e,"The output must encourage an interactive and engaging dialogue, prompting the user for further information or decisions when appropriate."
f5c1c08148c46ef57d5f0b530dc9f22f,The output must adhere to factual accuracy when providing information or advice.
6ad5d95b472dfc4cfd328b56c59de571,"The output must avoid technical errors, such as grammatical mistakes or incorrect use of terminology, to maintain professionalism."
35f20acc5496d1cb168e547e4973a020,"The output should be structured in a manner that is easy for the user to read and understand, using appropriate paragraphing and spacing where necessary."
