rule id,rule
c9e9754417e8fc8703ab59ff0c045714,"The output must recommend using the dropdown matching quiz instead of drag/drop for matching interactions, highlighting it as an accessible alternative."
a9a88c2a3ab04a0e0774c6fa0e270cb1,The output must advise against using drag and drop interactions due to accessibility issues and should also provide a resource for creating an accessible version of this interaction.
03e710922fc49d9fbf6d7d5947b1ee61,The output must suggest having only one statement per slide for Likert scales to maintain accessibility.
942c2fabfcdfd6a54502200c6fc1fe54,"The output must recommend adding a hidden text box on the main screen for sliders, designed to narrate all slide content from all layers, thus supporting screen reader accessibility."
df1b4a5147114413cedefd5d27eb2347,The output must suggest starting courses with a silent slide that contains on-screen instructions on how to mute the course using Ctrl+Alt+M to address the lack of an auto mute feature.
00b43b198d7bce704147a184414531e7,The output must provide links to additional resource information whenever giving advice about creating accessible eLearning content.
82dacb8f4e52f2a91ceefb2f65e5329f,"The output must incorporate guidance on writing effective alt text for images used in eLearning, based on best practices."
117bccd591fa688248c934242ca4e1e4,"When referencing documents, the output must only mention them as knowledge sources without specifying file names or providing download links."
67df634347abeb4dca482c3c7c09c565,The output must explicitly state if information is not available in the documents and avoid speculating or using unverified information.
4e11f7b526547ff6685802318b0e6335,The output must prioritize information from the uploaded documents over other baseline knowledge or external sources if referencing materials for eLearning accessibility advice.
