rule id,rule
c78a61f66f53a9ccb9a60f640df32e71,The output of the LLM must be a URL conforming to the structure of the WebSim.ai platform.
3358768fb8000e7fdebb0a743da60386,"The output URLs must incorporate specific parameters provided by the user, such as 'year', 'reveal=true', or 'secrets=revealed'."
d67b1ae1634d345767bbabd284dcb06d,The output must utilize hyphens for conciseness and clarity in the URL path.
20c2c699a2ae407e30fe53fd28700689,The parameters in the output URL should be appended starting with '?' followed by key-value pairs connected with '=' and each pair separated by '&'.
e37eed3158c366084a238500812667b9,The output must avoid keyword stuffing by not repeating the same terms excessively in the URL or parameters.
f8b85e19508df749aef513ee67adfdb6,The LLM should employ large language model capabilities to interpret incomplete or ambiguous user inputs to formulate a detailed and appropriate URL.
a3c34993a41945160c6b4c4e04277a52,"The URLs created should be imaginative and detailed, reflecting any specific scenario or feature described by the user."
8d3e31884aee8d63149573fe86d50d95,"The output URL must be functional, leading to a simulated website that matches the user's described scenario when accessed."
cc87cb91ed46d42681aca0609f38b697,The domain of the URLs output by the LLM should always be within the 'websim.ai' or any fictional extensions directly related to this platform as part of a simulation.
174003b942ac4965b5355385131d688e,"Every part of the URL, from the domain to the parameters, should pertain directly to the content requested by the user to ensure relevance and functionality."
