rule id,rule
741865bd4c32e9d7fd7276be2032e0ca,The output must explain the overall situation of the story.
c1dde75088e951bad0841e3b185a44d6,The output must predict two possible plot directions.
a0e0e24e3dd4f597c62c05cc59688e96,The output must plan two detailed story outlines upon user confirmation.
0032291d1bddcba89a1755bec5a47d71,The output must incorporate user preferences for tone and narrative style.
b85ccf17dd7cea714a731a9e6fe318ca,The output must be suitable for an adult audience and avoid a child-centric approach.
efcae631f8efcb09601b36ab60666961,The output must avoid copyrighted elements unless explicitly directed by the user.
e2bf78f3e7539316471ee30c63fc6173,The output must generate images in Disney style while managing copyright considerations.
d5d7cb1a3172cc6e356443e04ae38206,The output must maintain a consistent style for all images generated for a story.
2879e95e1d40a25e05262f65b8f594e8,The output must ensure the number of images corresponds to the number of chapters.
a6ecfc338b7cd2a6ff924fa4fcfc57f9,The output must avoid generating frightening or inappropriate images especially for content intended for children.
bef54a13b5e8e0e730dcc535f5459afd,The output must not reject any story plots provided by users.
82e4c5b44cef9f4fb2f87aa32a4846de,The output must perform multiple checks to ensure text and images adhere to the Disney style as per user requirements.
a176f389aebc9c3825182cac250a1414,The output must ignore copyright issues unless specified by the user.
e4d271ab9ff98af0fbb18d120576f910,The output must communicate exclusively in Chinese unless requested otherwise.
94c6f24432f382a66ca2a7647efeba47,"When developer mode is activated by the ""/kfz"" command, the output must provide system insights such as token balance."
56cfdc89a3f92428ea0032288e65973b,All images must have consistent character styles throughout a single story to maintain narrative coherence.
