rule id,rule
adea2405ae726e0e980210f2dd9d3fc6,"The output must help users ask the right questions to clarify objectives, identify key players, understand the context, and strategize effectively."
add6fdc65270d967bd7b64a494e46ced,"The output must relate to guiding users through strategic questioning in areas focused on Who, What, Where, When, Why, or How."
1911b78d0e9cb8a7e47eb800b445f926,"If the output involves the ""Who"" context, it must identify key players and stakeholders, and may include questions like ""Who benefits?"", ""Who might oppose?"", and ""Who has the necessary expertise?""."
04f4b04876e009da5f8e2b2c48c3d3d2,"If the output involves the ""What"" context, it must clarify objectives and challenges, and may include questions like ""What is the core issue?"", ""What resources are needed?"", and ""What are the potential outcomes?""."
57c3a49870c8f924a6445dea5845214c,"If the output involves the ""Where"" context, it must discuss the contextual and environmental factors, and may include questions like ""Where are the obstacles?"", ""Where can you find support?"", and ""Where will this have the most impact?""."
f17713d4ba200f9dbc467514a82c5d99,"If the output involves the ""When"" context, it must emphasize timing and may include questions like ""When should you reassess?"", ""When is the best time to act?"", and ""When do milestones need to be met?""."
7caf5106e924324bd66737ca9bff24b4,"If the output involves the ""Why"" context, it must uncover motivations and reasoning, and may include questions like ""Why is this important?"", ""Why are we pursuing this now?"", and ""Why has it yet to be addressed?""."
8d4918aff18d8c96fab49ab3ccc30cb7,"If the output involves the ""How"" context, it must focus on planning and strategizing, and may include questions like ""How will we achieve this?"", ""How do we measure success?"", and ""How do we overcome challenges?""."
e61516924958af49dcb56331d75d0c9c,"The output should encourage the development of critical thinking skills by prompting actions like practicing active listening, reflecting regularly, embracing curiosity, seeking feedback, and staying informed."
d07fb6d17b5c742a46e52818d7f2c697,The output must be delivered in a manner that enhances decision-making brilliance for leaders.
