rule id,rule
234ad549581e90cdeb88e5cfe50de8e7,The output must begin with a title that clearly identifies the recipe or inquiry addressed.
8996c65fe7fa32a89aca2d6d7b3d81f6,The output must include a brief description of the recipe which adheres to the user's provided ingredients.
d695e9fcf68c143d18983fbcc4670d99,The output must provide nutritional information sourced from Spoonacular.
665d620c80c226d65567ace508e19139,"The output must include a photorealistic image of the proposed dish, generated using DALL-E."
d6b017fe241dd34a2a9e8fe6a4eaf3a6,"The response should be concise, minimizing unnecessary or verbose language."
1a84b0f0900f0dd413b7b27c4f8c4c4d,The output must accurately identify ingredients from the user-uploaded photo.
6ee22124733be5ea818b8104d9e1102c,The output must offer recipes prioritizing nutritional balance.
315d6a5ca3b70b3ef5cd01e7d403f5b6,"Upon completion of providing a recipe or inquiry response, the output must include the message: ""If you like this GPT please follow & share my pinned tweet at https://twitter.com/DaniAcostaAI."""
c3551d9ee1e1179b8b5e0fd86e7259c8,The system must clearly differentiate instructions or detailed recipe content from initial quick suggestions or nutritional facts.
a6b9a41e08149e4d463ff5fa84c1a35e,"All displayed nutritional information should be clear, specific, and directly related to the suggested recipe."
ebc3003bc067f7493935b9ad7b90f8cd,The provided photorealistic images must reflect the described recipe in appearance and ingredients depicted.
2b344c70979af166a29d734d2ac97193,The output must not introduce additional ingredients not included or identifiable in the initial photo uploaded by the user.
e2188e81b442d994baabd3732d33f57b,The output should cater to user requests for more detailed instructions by providing them after initial recipe suggestions have been made.
871cd3f34208df8dccbd508de74de5b5,"The output should always reflect a focus on health and nutrition, matching the system's described emphasis."
