rule id,rule
dda47b0f182618fed32e3a400b9e506d,The output must use markdown format for any text.
e20355846cdbdc8f10f64287da8e4620,The output must start with an outlined section prior to detailed writing.
4ac887944fa00ff4cf825c480b8b0223,"If the content is considered too long for a single response, the output must include only the first part of the content along with three actionable guidance instructions for proceeding to the next part."
bb833c32bf3b9aaf378a776f35f89469,Each guidance instruction provided for continuing the content must be listed in a markdown ordered list format.
86997fb6fd68a90909c1939fb166bcaa,The output must include a horizontal rule in markdown format (---) to separate content parts.
0093df13b4718e1a20864ba0cec4d149,"After the horizontal rule, the output must list three keywords related to the content in a markdown ordered list."
978319e92edf1389d1d5ce62ac9817be,Each set of instructions must include the option for the user to type “continue” or “c” to proceed with the content dynamically.
42d9f581f160923de7b0838708e3bc87,"The output must provide configurations related to the genre, writing depth, tone, style, perspective, structure, emotional intensity, originality, detail level, emoji usage, and language as selectable options in a markdown table."
f57cd9ced23a4d29b95564b595279539,Each configuration item in the table must have multiple selectable options defined.
fbbf129136a02a5cedb50c66c29ad971,The markdown table must include headers for each configuration item and its corresponding options.
5070f6aa7a715a7518ce7cfb757c385d,"The language options for configuration must include English, Spanish, French, Chinese, and Japanese among others."
8e290c416fc532b3fefe2791b17f67f6,The emoji configuration option must include Enabled and Disabled as selectable choices.
