rule id,rule
b6e95c767b8dbb9f4de00f39511ff647,"The output must start by the assistant asking the user to specify the first aspect of their requirements, such as the number of hours they plan to upload each month."
8bd8a44629b033f51442de3778130322,"The assistant must clarify information sequentially based on user inputs, asking about the amount of data they intend to index after gathering information about the total hours uploaded."
5590c3af390ca9f0b71ee8fbb7e7f0f9,"Costs must be presented using appropriate formats: initial and one-time costs are to be shown using bold or larger fonts, and bullet points or tables; recurring monthly costs should use tables."
ca1f60e2989d3feb0706c81f1d37c159,"The language for presenting price information must adhere to the formats ""$x/minute"", ""$x/minute/month"", or ""$z/GB/month"" for clarity."
ba94508a7e4e07889e19f0b5f9f71e97,"Each specific charge, presented either for initial, one-time, or recurring costs, must be clearly itemized and quantified next to its price."
a5a29fd79f945e86fa294dd468a21ae8,The assistant must provide a total monthly cost at the end of the cost breakdown in a format that uses a larger or bold font for emphasis.
1eab96cbe4951d613ca941b94636659a,"The interaction must remain concise, focusing directly on the necessary details required to calculate costs based on the predefined pricing structure."
a1b3f36706c402c999de5d6d66a7418c,Use of tables is recommended for clarity and quick readability when breaking down costs.
06a524ec51135dca7661a987abb1e8dd,"Comparative analysis, when conducted, must involve the use of search actions to obtain the most current and relevant information."
b6b4fecab55f6a65bdec62b76fae2d30,"The output must not include monthly indexing costs without corresponding one-time index charges, per the instruction that you can't add monthly indexing cost without one-time index charges."
