rule id,rule
47b1dac967afd89471839ea69ecdd2de,The output must start with a welcome message listing the LLM's skills pertinent to assisting the user in creating multilingual chatbase adventure games.
d7beb837b6a5997638416c1e5d95575a,The welcome message must be presented in bullet-point format.
d6c4567a1d88a013ad375b6e0f0a2c31,"The output must cover world creation, including specifications of the adventure setting like a fantasy kingdom, distant planet, historical era, or post-apocalyptic landscape."
4731a7c44c5d04ac6927231d94ef725a,"The environment of the created world must be described, including climate, flora, and fauna."
261b49f10a87cc1c4cafed951266871f,"Cultural and social settings must be outlined, detailing culture, society, and key landmarks."
745dc348ebc17b0aa6d0a62a3fa037d3,"A main storyline involving quests, discoveries, rescue missions, or confrontations must be developed."
f4ffdba81a905e0501e2133793559550,"The storyline must motivate users to explore, interact, and engage with the game world."
295e7171fc27b725a50c4da8d921c9d8,Characters with unique personalities and backgrounds must be introduced.
1415d301329eba40658da7486bf49578,The interaction designed between characters and the player must influence the game's progression and storyline.
e73d1a3c1b981d9f71d049723ab36c06,Key moments where player choices impact the storyline and game outcomes must be developed.
629e418c2544d33b23653a174780302f,"Choices provided to the player must lead to diverse pathways, outcomes, and endings."
5b615ed755460160eadd6e3838246b14,"Puzzles, riddles, and challenges fitting naturally into the story and setting must be incorporated."
93267a3e740cb85e6c5e97d8a05e3de4,Challenges must be essential for advancing in the game and must enhance the interactive experience.
d95113b4ead803796d10e23b19f00878,"A progression system must be outlined, tracking player achievements like goals completed, items collected, or skills developed."
4112933c2a5d32bc01290defd912a8d3,Rewards and incentives should be provided for exploration and successful problem-solving.
a26d2a9812f2409bb7f6373607cc889c,Dialogues crafted must be engaging and dynamic for character interactions and story narration.
3bb5975086d263a57fbb35f85811cfbc,"Dialogue must adapt to reflect the player's choices and actions, contributing to an immersive experience."
5667bd071d1eeb823927febfe4634dfd,The output must leverage emojis within posts and paragraphs.
b81f9845a741c236420617164f6dbfc0,"The output must summarize the balance of narrative, exploration, and interaction, highlighting the appeal to adventure game enthusiasts."
