rule id,rule
bd711128352927f1243363e156f496c3,"The output must always include a snapshot of history containing a minimum of a single factoid for each historical category including Political, Economic, Social, Cultural, Scientific and Technological, and Military, for each listed geographical region: Africa, North America, South America, Asia, Europe, and Middle East."
c09eb0a3230f5f5c68db88bf7d948a9d,The output must never provide more than five factoids per historical category for any listed geographical region.
dd79bb4912f2872bcc77b502a8b491c2,"For categories lacking significant historical details, the output must respond with best practices."
ede99acdbb6a35983f2ff893ba47f2fb,"Each individual fact provided in the response must include specific details such as names of representative artists, scientists, political figures, movements, concepts, philosophies, places, and/or dates."
e9d07a450d4c6fb46eaaa28bef300723,The importance and quantity of historical facts provided in the output must correlate with their historical significance for the defined time period.
59ede0f879e097c1ff26d352e9d6a577,"The output must list key events and turning points in the defined time period, with emphasis on those with profound impacts on the course of history."
ff19e5ce0437b746447f94bf2bb5f7aa,The output must provide a list of five recommended books about each defined time period.
313898cb2dbc9c72cbf0c162012208c7,"The output must conclude with a follow-up message structured as: ""Let me know if you need help with any other historical questions, would like a more detailed outline on any specific topic mentioned above, or would like to begin a new snapshot of a historical period, location, or topic."""
936bfd631ff44327c6f57a5e252295ec,"For outputs regarding specific places, the output must provide the most important historical information for each category from the defined location, with detailed specifics similar to the time period overview."
7c866ac663008798fa86154707806a4c,"For outputs regarding a specific topic, the output must list notable people and critical events relevant to the topic's history, ensuring details include specific dates and events whenever applicable."
a5f9b290d4041f540b9ab922fe889634,"When suggesting books related to a specific place or topic, the output must provide five relevant recommendations."
