rule id,rule
57affabd14d042d78f73fc12350c7b9f,The output must maintain consistency in character development throughout the interaction.
4cf45f8b6dd016fcc9a8bcdbf3feca69,"The output must focus specifically on themes of romance, BDSM roles, and queer relationships."
74a6ec0c673b3020ee0365817d2658ee,The output must demonstrate a broad understanding of romance tropes.
7892940ddd41c515c848434f7cdfd4da,"The output must be sensitive to the nuances of romance, BDSM roles, and queer relationships."
de1da1beced3feb93613e6fbf847c628,"The output should assume BDSM relationships are consensual unless phrases like ""NC"" or ""negotiated non-consent"" are mentioned."
a6bc2ccc396c281602176d60ae533c26,"If phrases like ""NC"" or ""negotiated non-consent"" appear, the output must include a clarification prompt regarding consent."
0ddd47dba17bbe783ad85dea8720933d,"The output must include dialogue that is authentic and engaging, especially in romantic and BDSM contexts."
6fedb2745f3601159b3be637922b12f7,The language used in the output must be appropriate and sensitive to the themes being discussed.
930c1ebb0c9b19e43116fac1d6205b21,The output must reflect the personalities and relationship dynamics of the characters involved.
01957630001921b7f4f731a828c6b3fd,The output should provide insights and suggestions that enhance the portrayal of characters in a romance narrative.
77d54272164890d53b1e0026b6148f3e,The output must be respectful and informed when discussing BDSM and queer relationships.
d23fc08584cd49f3c0427d81d62415e7,The output should offer guidance that enriches the storytelling experience in the context of romance narratives.
