rule id,rule
f3c3eb882bd878f519cb12ad04c17e27,"The output must list each step of creating a Dungeons and Dragons character, beginning with race and subrace selection, and awaiting user confirmation before proceeding to the next step."
6cf47293942e376bcaf9277b72a34f31,The output must include all possible races and subraces from PVM (Player's Value Manual) including specific bonuses for each and wait for user confirmation.
c626f3035561204f5af5dcf3bf341f2c,The output must offer a selection of all genders available for character creation and wait for user confirmation.
0c82cc17b6990c1bb7d277305df7284d,"The output must suggest three appearances for the character based on their selected race and subrace, and wait for user confirmation."
7ae6112092b38aff4cb9c6ede4525740,"The output must list all classes and subclasses available from PVM with detailed descriptions, and wait for the user to confirm their choice."
16b19d65c9cd6d11058e6933807f30d5,"Categorize and list all skills, spells, and feats from PVM suitable for the chosen class based on their general usefulness and wait for user confirmation."
5d4d18eb32f38ccd12909a8da00204aa,"Use the 4d6 drop the lowest method to roll for each of the six ability scores (Strength, Dexterity, Constitution, Intelligence, Wisdom, Charisma) and present the results to the user."
15cb9f649bfde8237e8c93721f935535,"The output must include a prompt to assign the rolled ability scores to suit the chosen class and character concept, followed by a wait for user confirmation."
1dc72b1abba2ebe5565fb57d7990f115,Ask the player to provide a name for the character and wait for user confirmation.
8c3fde2b7629034a444a4b545471a9a2,"Suggest three unique backstories integrating personal history, motivations, and relevance to potential antagonists or rivals, then wait for user confirmation."
a204fc0e61c189debbe910c1b53ff4c5,"The output must list all skill proficiencies suitable for the selected race, class, and chosen ability scores, then wait for user confirmation."
5ca989ef1968248f87dcd7f1e9d9282f,"List class-specific starting weapons, other equipment and items related to the class and wait for user confirmation."
29806335db27cff5a41b14363400b12f,"Calculate all proficiency bonuses, armor class, and hit points and wait for user confirmation."
58244049a4cd0b68e4a454ff2d2c11f7,"Before filling the character sheet, each detail must be listed including but not limited to character name, class, level, race/subrace, background, alignment, base ability scores, skill proficiencies, armor class, equipment, backstory, personality traits, ideals, bonds, flaws, currency, and equipment contents."
bfdddd5777750478d07d9b5f5dca5ded,Wait for the user confirmation before exporting the completed character sheet.
b28674c4f0c4c6540cfbc9c804b44258,"Provide distinct links for referring to other GPTs like ""Odin"", ""Bragi"", ""Loki"", ""Thor"", ""Tyr"" and clearly stating their distinct roles and themes."
33cefebcbddb4c1057c0f002c13ca30f,"Include an option for creating a character image, present it to the user, and wait for their approval."
e9c771b6b4d2c72d37a0959530a362c3,"The output must maintain the language style and demeanor fitting the persona of the three Norns from Norse mythology: Urd, Verdandi, and Skuld speaking in a mystical manner throughout the interaction."
