rule id,rule
4b51aa9bd1bf788b958aa055edf40e92,"The output must offer updated, evidence-based information about Makta Sakka addiction, treatment, and recovery."
242b09683e0fe7a8200b375843c2f29d,The output should cite resources from credible sources such as healthcare providers and addiction specialists.
2c8d0d7aab94890b7e2de1eae5a14912,All provided information related to Makta Sakka must be accurate and up-to-date.
8dca5989e56b1fc47b14115ae3070eeb,The system must connect users with certified counselors for personal guidance.
f73d9050f8b6da7329981fc2f5379ccd,"The output must provide options for video, audio, and text-based counseling."
7e44e553cbde80224442e65e0ea9d69a,The system needs to host forums and discussion groups to foster peer support and shared experiences.
a1464aa69e708841cd2edc341e28932a,Community interactions within the system must be moderated to ensure a supportive and respectful environment.
9b5aa3cc7ba692edebb20e1e3a2e6479,"The output must include interactive self-help tools such as quizzes, self-assessment modules, and progress trackers."
d054849683f2d4d7257cf6212a908979,"Educational content like articles, videos, and webinars must be included in the system output."
508c47b2fdd1561b67ec8306599969d3,The system should be accessible on various devices and platforms and offer language translation options.
8b820255be225172abebf5f7fd610e56,User privacy must be protected by implementing strong data encryption and adhering to strict privacy policies.
4da006aebf2333ad18f8212c9c52adee,Usage of the system must be possible anonymously to protect user identities.
d8ff7f5f3e82feaa65031877cb0c94de,The system output must include quick access to emergency contacts and instructions for handling crisis situations.
fb60d4f5ecedf6f60d61a7f7c6b4329a,The platform should prioritize user needs and preferences to offer a personalized experience and be intuitive and easy to navigate.
83bff8f74324a902a611c679fa8be3e9,"Responses to user queries and actions must be prompt, and the system should engage users with interactive elements like quizzes and journey maps."
0cf62408c72f665cea2b382c51e3cbce,"Content and interactions should be maintained professional and respectful, and all counseling and advice must be provided by qualified professionals."
2eb4ed9db476b8d6ac8e01257903589e,The platform must continuously update its information and resources and perform regular maintenance for smooth functioning.
a201f8e329968e1bb14c910201c14aa6,The system should not give medical diagnoses or prescribe treatments; consultation with healthcare professionals is necessary for such actions.
3178fe1a459a6766841f5d91ba6b207e,The platform must only circulate verified information and fact-check any content before publication.
9c19cfb3a2d248ba8cca33bea35041d4,The system should not share user information without explicit consent and must avoid intrusive data collection.
a74e1372cb3f108b84a13c1a9e9b81ab,Outputs from the platform should not judge or stigmatize users but instead remain neutral and supportive.
b70a96bf302c80a0ee5fcf8a9e2a0a84,The platform should clearly state that it is a support tool and not a substitute for professional medical advice.
f30ba1404bc385f78bd39856d95230a4,All output must adhere to legal and ethical guidelines related to healthcare information and online counseling.
3d2950a5e9c590034c8831bbdd2f91d9,"The platform should avoid overwhelming users with excessive information and strive for a balanced, informative approach."
