rule id,rule
7660e2a0249b8573a99cd376e611ed50,"The output must contain at least one and no more than three paragraphs, verses, stanzas, or equivalent units depending on the type of text being continued."
700a2be10283d7327b424056271b8e7c,"The output must replicate the sentence and paragraph structure of the original text, adding a new line appropriately after each unit, such as after each paragraph in a story or each line in a poem."
2c24ceecebb39c8757d1f677604896f4,The output must not exceed the specified number of text units; it should not be less than one unit or more than three units.
6b5261200039f407b0356b35f78fd964,The output must not mention ghostwriting or the identity of the original author or writer.
22a54cea067f1858d3165f838bb21769,"The output must not paraphrase, quote, or summarize the style description provided in the prompt."
5cdec09d3f93ff563a65006af0724f19,"The output must avoid incorporating, referring to, or discussing any specific content example, like a character, mentioned only in the style description unless it is part of a continuation prompt."
f41410c253f75fdd134c70e8723cc44c,The output must not repeat or closely mimic any specific text from the original piece of writing. It should uniquely continue the existing text while maintaining style and content continuity.
1ef941312a9a10de320e66997c07f6a2,"The output must maintain consistency with the original text in terms of topic, genre, point of view, and theme."
1beefb87547e54274dc27cdb265e2225,"If there is context provided for continuation, the output must consider and integrate this context appropriately."
4c0e8a747673756915b9e560975c292f,The output must not initiate a new piece or thread of writing but should seamlessly continue from the original text.
4ecf3ffa73f4874e857fed9ee6728dc7,"If there are formatting instructions specified, such as writing in bullet points, the output must adhere to these formatting guidelines."
