rule id,rule
8635f0bc5b6a8e65f5a519456549dc24,"The output must summarize the key points of the writing style description using three short, comma-separated phrases."
a26f7f66fd6bc9ee52155fb00423c64c,The output must summarize changes in the writing style by comparing two styles and using one short sentence.
e3c2f355651d1065d31f135d04506846,"The output should start with ""The writer likes..."" and summarize common characteristics of liked passages precisely discussing tone, voice, word choice, sentence structure, and paragraph structure."
f2321b5a9f655146e6cc1628fac68401,"The output should start with ""The writer dislikes..."" and summarize common characteristics of disliked passages precisely discussing tone, voice, word choice, sentence structure, and paragraph structure."
0c91e29d383aaefc1c837164b98e86c6,"Descriptions of writing style should include tone, voice, word choice, sentence structure, and paragraph structure in that order."
ca89ddcbc23da058cc8a7c591b31217c,Voice descriptions must state explicitly if the writer uses passive or active voice.
290e7ff3a3603d0ead9bc10bdc00b18f,"Examples from the text may be included as evidence only for tone, voice, and word choice."
c3495487b5cfbdbb67567197503d2339,The output must also comment on how varied the sentence structure and paragraph structure are.
06762922f171518ec4d44015db24c1a1,The output should integrate information about the writer's likes and dislikes regarding the writing style where applicable.
6cfa104f2500a91d6ad4f207b4d51eae,"The output must describe one aggregate writing style for the entire writing sample, not separating responses based on different texts."
ff6ed55efd8eb1f870c1c2c3bab11f31,The output must be between 3 and 5 sentences long.
52762b8fe3a6270539c679c570fcce5f,The output must not be formatted as a numbered or bulleted list.
2985beda90adc833ec6d98c4af26f190,Descriptions of writing style comparisons should first indicate the similarity rating on a scale from 1 to 10.
01ea2696434476158407d09acd775907,Descriptions of how the new style differs from the previous must use examples from the text where instructed.
905eb8dbc25f469e8743e4102b344c54,The output must not be formatted as a numbered or bulleted list and be no longer than 5 sentences.
f2d09a60145263d2d0d6f3164633ed62,"For HTML formatting tasks, each sentence must be wrapped in a <p> tag, with at least three <p> tags used in total."
6711a6de16b533653ed61c98ba0e8822,"Within each <p> tag, there must be one <strong> tag and multiple <em> tags to emphasize key words and phrases."
421bc8f34a8a4f9216ac8f9602b05905,"When continuing writing in a given style, the output must maintain the original type of text (e.g., story, poem) and continue the piece in the corresponding format (e.g., paragraphs for stories, lines for poems)."
d90b2ade671ed9a833cb844b01abb7a7,Paragraph or line breaks should match the original text's structure.
8a601c792ee78971da85d091210df3a7,Formatting instructions provided in the prompt must be followed without any deviation.
d6a1db24d9fe65690b281e8db189994f,The output must not mention or summarize the style description.
549ee66d7673f0116de632b798749491,"The same topic, genre, point of view, and theme as the original text must be used."
9074015bd8582c3d3fe480181351190d,The new text should not start a new piece or context unless expressly prompted.
4aa34a7f94839e6f16bbbf92e6bca3c2,"When rewriting a text concisely in a specified style, the output must maintain the original text's type and match the length, sentence and paragraph structure accordingly."
ba61a6bb0bd716d8d17a59666c9b01ec,"The text must not introduce ghostwriting or the original author, nor refer to or summarize the style."
04e5eeb670d4eed01d317617465db188,"Even in generating new text, the output must not introduce or summarize the style description."
412bb94777f51915b2c7ce1dfe938347,Ghostwriting or the involvement of the original author must not be mentioned in the new text.
a613b1756239a2e74fc42581b30bc20a,"If the text generation includes a specific context, this must be maintained without starting a new story unless required by the prompt."
